match_number,batter,team_A,team_B,venue,runs_batter,balls_faced,bowler,wickets,runs_conceded,runs_at_venue,wickets_at_venue,runs_vs_opponent,wickets_vs_opponent,career_runs,career_wickets,career_runs_conceded,batting_form,bowling_form,next_match_runs,next_match_wickets
0.0,0,5,3,RSA,0.0,0.0,A Kumble,24.0,31.0,0.0,22.470588235294116,0.0,24.25,0.0,0.0,0.0,0.0,24.0,0.0,21.0
0.0,0,5,4,Mumbai,0.0,0.0,A Kumble,21.0,16.0,0.0,23.5,0.0,23.833333333333332,0.0,24.0,31.0,0.0,22.5,0.0,19.0
0.0,0,7,4,Delhi,0.0,0.0,A Mishra,24.0,16.0,0.0,22.431818181818183,0.0,21.43243243243243,0.0,0.0,0.0,0.0,24.0,0.0,18.0
0.0,0,5,3,Mumbai,0.0,0.0,A Mithun,20.0,32.0,0.0,20.0,0.0,22.5,0.0,0.0,0.0,0.0,20.0,0.0,12.0
0.0,0,5,8,Chennai,0.0,0.0,A Mithun,12.0,26.0,0.0,12.0,0.0,19.333333333333332,0.0,20.0,32.0,0.0,16.0,0.0,7.0
0.0,0,3,1,Mumbai,0.0,0.0,A Nehra,26.0,51.0,0.0,22.210526315789473,0.0,19.875,0.0,0.0,0.0,0.0,26.0,0.0,25.0
0.0,0,3,5,Ranchi,0.0,0.0,A Nehra,25.0,28.0,0.0,25.0,0.0,25.0,0.0,26.0,51.0,0.0,25.5,0.0,24.0
0.0,0,3,8,RSA,0.0,0.0,A Nehra,24.0,34.0,0.0,25.0,0.0,21.333333333333332,0.0,51.0,79.0,0.0,25.0,0.0,24.0
0.0,0,8,3,Eden Gardens,0.0,0.0,A Nehra,24.0,42.0,0.0,20.4,0.0,24.2,0.0,75.0,113.0,0.0,24.333333333333332,0.0,26.0
0.0,0,10,4,RSA,0.0,0.0,A Nehra,26.0,38.0,0.0,25.0,0.0,21.666666666666668,0.0,99.0,155.0,0.0,24.666666666666668,0.0,25.0
0.0,0,8,10,Dubai,0.0,0.0,A Nortje,24.0,51.0,0.0,23.458333333333332,0.0,24.75,0.0,0.0,0.0,0.0,24.0,0.0,25.0
0.0,0,10,2,Dubai,0.0,0.0,A Nortje,25.0,31.0,0.0,23.458333333333332,0.0,21.333333333333332,0.0,24.0,51.0,0.0,24.5,0.0,24.0
0.0,0,10,3,Dubai,0.0,0.0,A Nortje,24.0,31.0,0.0,23.458333333333332,0.0,25.333333333333332,0.0,49.0,82.0,0.0,24.333333333333332,0.0,24.0
0.0,0,10,4,Dubai,0.0,0.0,A Nortje,24.0,36.0,0.0,23.458333333333332,0.0,25.0,0.0,73.0,113.0,0.0,24.333333333333332,0.0,16.0
0.0,0,10,8,Dubai,0.0,0.0,A Nortje,16.0,25.0,0.0,23.458333333333332,0.0,20.6,0.0,97.0,149.0,0.0,21.333333333333332,0.0,27.0
0.0,0,5,4,Dubai,0.0,0.0,A Zampa,25.0,12.0,0.0,22.333333333333332,0.0,24.5,0.0,0.0,0.0,0.0,25.0,0.0,25.0
0.0,0,8,12,Hyderabad,0.0,0.0,A Zampa,25.0,32.0,0.0,25.0,0.0,17.4,0.0,25.0,12.0,0.0,25.0,0.0,6.0
0.0,0,8,12,Mumbai,0.0,0.0,A Zampa,6.0,9.0,0.0,18.0,0.0,17.4,0.0,50.0,44.0,0.0,18.666666666666668,0.0,19.0
0.0,0,4,2,Ahmedabad,0.0,0.0,AD Russell,9.0,15.0,0.0,11.333333333333334,0.0,15.60377358490566,0.0,0.0,0.0,0.0,9.0,0.0,16.0
0.0,0,4,2,Chennai,0.0,0.0,AD Russell,16.0,19.0,0.0,18.125,0.0,15.60377358490566,0.0,9.0,15.0,0.0,12.5,0.0,18.0
0.0,0,2,1,Banglore,0.0,0.0,AR Patel,25.0,21.0,0.0,24.75,0.0,22.225,0.0,0.0,0.0,0.0,25.0,0.0,25.0
0.0,0,3,1,Mumbai,0.0,0.0,AR Patel,25.0,28.0,0.0,20.25,0.0,22.225,0.0,25.0,21.0,0.0,25.0,0.0,24.0
0.0,0,10,4,Dubai,0.0,0.0,AR Patel,24.0,33.0,0.0,21.5,0.0,22.77777777777778,0.0,50.0,49.0,0.0,24.666666666666668,0.0,18.0
0.0,0,7,9,Eden Gardens,0.0,0.0,AS Joseph,12.0,27.0,0.0,12.0,0.0,23.1,0.0,0.0,0.0,0.0,12.0,0.0,24.0
0.0,0,8,6,Chennai,0.0,0.0,Akash Madhwal,21.0,6.0,0.0,13.5,0.0,21.0,0.0,0.0,0.0,0.0,21.0,0.0,26.0
0.0,0,9,8,Ahmedabad,0.0,0.0,Akash Madhwal,26.0,52.0,0.0,26.0,0.0,22.0,0.0,21.0,6.0,0.0,23.5,0.0,25.0
0.0,0,4,7,Chennai,0.0,0.0,Avesh Khan,26.0,27.0,0.0,19.4,0.0,23.214285714285715,0.0,0.0,0.0,0.0,26.0,0.0,26.0
0.0,0,5,6,Eden Gardens,0.0,0.0,Avesh Khan,26.0,44.0,0.0,25.5,0.0,21.307692307692307,0.0,26.0,27.0,0.0,26.0,0.0,24.0
0.0,0,5,7,Ahmedabad,0.0,0.0,Avesh Khan,24.0,44.0,0.0,24.6,0.0,23.214285714285715,0.0,52.0,71.0,0.0,25.333333333333332,0.0,24.0
0.0,0,10,2,Dubai,0.0,0.0,Avesh Khan,24.0,22.0,0.0,24.555555555555557,0.0,23.0,0.0,76.0,115.0,0.0,24.666666666666668,0.0,25.0
0.0,0,10,3,Dubai,0.0,0.0,Avesh Khan,25.0,48.0,0.0,24.555555555555557,0.0,18.75,0.0,100.0,137.0,0.0,24.333333333333332,0.0,25.0
0.0,0,5,4,Mumbai,0.0,0.0,B Akhil,6.0,6.0,0.0,12.0,0.0,15.5,0.0,0.0,0.0,0.0,6.0,0.0,20.0
0.0,0,4,2,Banglore,0.0,0.0,B Kumar,6.0,11.0,0.0,23.22222222222222,0.0,21.176470588235293,0.0,0.0,0.0,0.0,6.0,0.0,18.0
0.0,0,4,7,Chennai,0.0,0.0,B Kumar,18.0,33.0,0.0,21.166666666666668,0.0,22.285714285714285,0.0,6.0,11.0,0.0,12.0,0.0,26.0
0.0,0,4,10,Vizag,0.0,0.0,B Kumar,26.0,42.0,0.0,23.0,0.0,24.9,0.0,24.0,44.0,0.0,16.666666666666668,0.0,26.0
0.0,0,14,4,Delhi,0.0,0.0,B Kumar,26.0,27.0,0.0,25.22222222222222,0.0,24.32894736842105,0.0,50.0,86.0,0.0,23.333333333333332,0.0,25.0
0.0,0,2,7,Eden Gardens,0.0,0.0,B Laughlin,20.0,35.0,0.0,20.0,0.0,23.5,0.0,0.0,0.0,0.0,20.0,0.0,12.0
0.0,0,2,3,Chennai,0.0,0.0,B Lee,25.0,43.0,0.0,24.5,0.0,24.666666666666668,0.0,0.0,0.0,0.0,25.0,0.0,25.0
0.0,0,4,2,Delhi,0.0,0.0,BB Sran,18.0,33.0,0.0,21.333333333333332,0.0,21.333333333333332,0.0,0.0,0.0,0.0,18.0,0.0,20.0
0.0,0,5,4,Banglore,0.0,0.0,BB Sran,20.0,41.0,0.0,20.0,0.0,22.22222222222222,0.0,18.0,33.0,0.0,19.0,0.0,19.0
0.0,0,14,4,Delhi,0.0,0.0,BB Sran,19.0,28.0,0.0,21.333333333333332,0.0,22.22222222222222,0.0,38.0,74.0,0.0,19.0,0.0,26.0
0.0,0,2,3,Chennai,0.0,0.0,BW Hilfenhaus,26.0,26.0,0.0,24.0,0.0,23.272727272727273,0.0,0.0,0.0,0.0,26.0,0.0,29.0
0.0,0,3,8,Banglore,0.0,0.0,BW Hilfenhaus,29.0,45.0,0.0,29.0,0.0,26.5,0.0,26.0,26.0,0.0,27.5,0.0,20.0
0.0,0,10,3,Chennai,0.0,0.0,BW Hilfenhaus,20.0,18.0,0.0,24.0,0.0,23.272727272727273,0.0,55.0,71.0,0.0,25.0,0.0,12.0
0.0,0,3,8,Delhi,0.0,0.0,CH Morris,19.0,27.0,0.0,22.4,0.0,23.666666666666668,0.0,0.0,0.0,0.0,19.0,0.0,25.0
0.0,0,14,5,Banglore,0.0,0.0,CJ Jordan,26.0,31.0,0.0,18.714285714285715,0.0,20.0,0.0,0.0,0.0,0.0,26.0,0.0,25.0
0.0,0,5,8,Mumbai,0.0,0.0,CRD Fernando,26.0,28.0,0.0,25.333333333333332,0.0,25.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0
0.0,0,3,2,Dubai,0.0,0.0,CV Varun,25.0,38.0,0.0,25.318181818181817,0.0,23.09090909090909,0.0,0.0,0.0,0.0,25.0,0.0,26.0
0.0,0,4,2,Ahmedabad,0.0,0.0,CV Varun,26.0,26.0,0.0,22.25,0.0,23.09090909090909,0.0,25.0,38.0,0.0,25.5,0.0,12.0
0.0,0,4,2,Chennai,0.0,0.0,CV Varun,12.0,10.0,0.0,22.5,0.0,23.09090909090909,0.0,51.0,64.0,0.0,21.0,0.0,24.0
0.0,0,5,2,Dubai,0.0,0.0,CV Varun,24.0,21.0,0.0,25.318181818181817,0.0,23.09090909090909,0.0,63.0,74.0,0.0,20.666666666666668,0.0,25.0
0.0,0,10,2,Dubai,0.0,0.0,CV Varun,25.0,26.0,0.0,25.318181818181817,0.0,23.09090909090909,0.0,87.0,95.0,0.0,20.333333333333332,0.0,25.0
0.0,0,5,7,Mumbai,0.0,0.0,D Wiese,25.0,32.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,24.0
0.0,0,3,4,Mumbai,0.0,0.0,DE Bollinger,24.0,14.0,0.0,24.8,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,19.0
0.0,0,3,5,Chennai,0.0,0.0,DE Bollinger,19.0,28.0,0.0,23.571428571428573,0.0,19.0,0.0,24.0,14.0,0.0,21.5,0.0,24.0
0.0,0,3,8,Mumbai,0.0,0.0,DE Bollinger,24.0,31.0,0.0,24.8,0.0,24.333333333333332,0.0,43.0,42.0,0.0,22.333333333333332,0.0,25.0
0.0,0,5,3,Mumbai,0.0,0.0,DE Bollinger,25.0,26.0,0.0,24.8,0.0,20.181818181818183,0.0,67.0,73.0,0.0,22.666666666666668,0.0,15.0
0.0,0,2,3,Chennai,0.0,0.0,DJ Bravo,24.0,49.0,0.0,21.783783783783782,0.0,21.6,0.0,0.0,0.0,0.0,24.0,0.0,24.0
0.0,0,3,2,Dubai,0.0,0.0,DJ Bravo,24.0,29.0,0.0,21.846153846153847,0.0,22.11111111111111,0.0,24.0,49.0,0.0,24.0,0.0,18.0
