match_number,batter,team_A,team_B,venue,runs_batter,balls_faced,bowler,wickets,runs_conceded,runs_at_venue,wickets_at_venue,runs_vs_opponent,wickets_vs_opponent,career_runs,career_wickets,career_runs_conceded,next_match_runs,next_match_wickets
0.0,AR Patel,1,2,Eden Gardens,2.0,2.0,AR Patel,24.0,14.0,9.5,24.166666666666668,7.0,20.77777777777778,0.0,0.0,0.0,0.0,25.0
0.0,DR Smith,8,3,Eden Gardens,57.0,48.0,DR Smith,12.0,17.0,27.75,15.75,36.9375,11.166666666666666,163.0,6.0,6.0,62.0,12.0
0.0,DR Smith,14,4,Delhi,1.0,3.0,DR Smith,12.0,29.0,33.57142857142857,11.333333333333334,27.0,10.333333333333334,282.0,18.0,23.0,73.0,6.0
0.0,DR Smith,14,5,Banglore,73.0,41.0,DR Smith,6.0,14.0,32.833333333333336,11.0,23.0,8.666666666666666,283.0,30.0,52.0,34.0,12.0
0.0,DS Kulkarni,3,8,Banglore,10.0,5.0,DS Kulkarni,26.0,46.0,7.333333333333333,20.5,4.4,20.304347826086957,0.0,0.0,0.0,3.0,24.0
0.0,DS Kulkarni,5,7,Mumbai,3.0,10.0,DS Kulkarni,24.0,32.0,4.5,23.8,3.0,22.714285714285715,10.0,26.0,46.0,3.0,26.0
0.0,DS Kulkarni,14,4,Delhi,3.0,2.0,DS Kulkarni,24.0,32.0,3.0,19.571428571428573,4.0,16.8,13.0,76.0,111.0,10.0,24.0
0.0,DS Kulkarni,14,5,Banglore,10.0,4.0,DS Kulkarni,24.0,15.0,7.333333333333333,20.5,5.5,21.142857142857142,16.0,100.0,143.0,5.0,19.0
0.0,DT Christian,5,2,Dubai,9.0,8.0,DT Christian,12.0,29.0,2.75,12.0,8.666666666666666,22.0,0.0,0.0,0.0,4.0,26.0
0.0,DT Christian,8,12,Hyderabad,4.0,2.0,DT Christian,26.0,35.0,13.0,22.6,6.571428571428571,18.0,9.0,12.0,29.0,1.0,25.0
0.0,DW Steyn,5,8,Mumbai,5.0,5.0,DW Steyn,27.0,43.0,3.0,24.428571428571427,6.0,24.77777777777778,0.0,20.0,11.0,4.0,26.0
0.0,DW Steyn,7,4,Delhi,4.0,2.0,DW Steyn,26.0,23.0,5.0,24.714285714285715,5.923076923076923,23.62857142857143,5.0,47.0,54.0,7.0,25.0
0.0,GD McGrath,10,7,Mumbai,4.0,3.0,GD McGrath,25.0,38.0,2.0,24.5,4.0,25.0,0.0,0.0,0.0,0.0,25.0
0.0,GJ Maxwell,3,1,Mumbai,13.0,8.0,GJ Maxwell,6.0,4.0,24.695652173913043,11.4,20.823529411764707,12.0,6.0,0.0,0.0,15.0,18.0
0.0,GJ Maxwell,5,2,Dubai,15.0,19.0,GJ Maxwell,18.0,25.0,29.083333333333332,16.6,25.9,12.2,19.0,6.0,4.0,9.0,18.0
